operator, count by repo, count by rule, total count
samtools, 190, 504, 773
bcftools, 77, 176, 252
fastqc, 64, 103, 110
bwa, 53, 89, 104
multiqc, 45, 62, 72
bedtools, 43, 157, 225
bedextract, 30, 30, 30
tabix, 28, 87, 94
bowtie2, 27, 35, 38
picard, 26, 48, 48
trim_galore, 25, 30, 41
seqtk, 24, 31, 39
minimap2, 23, 35, 35
gatk, 20, 125, 131
bowtie2-build, 19, 25, 25
featureCounts, 18, 27, 27
salmon, 15, 26, 28
cutadapt, 15, 26, 27
trimmomatic, 15, 18, 18
bamCoverage, 14, 23, 25
bam_stat.py, 14, 15, 15
kallisto, 13, 21, 21
fastp, 13, 14, 15
macs2, 10, 22, 25
hisat2, 10, 21, 24
stringtie, 9, 21, 21
gffread, 9, 14, 14
megahit, 9, 10, 10
seqkit, 9, 9, 13
gtdbtk, 8, 10, 10
qiime, 7, 169, 250
vcftools, 7, 46, 52
augur, 7, 30, 32
bwa-mem2, 7, 10, 10
kraken2, 7, 9, 10
checkm, 6, 15, 22
sourmash, 6, 13, 15
gffcompare, 6, 10, 10
bismark_methylation_extractor, 5, 14, 22
bismark, 5, 12, 12
multiBamSummary, 5, 12, 12
NanoPlot, 5, 12, 12
biom, 5, 9, 15
mothur, 4, 19, 19
mmseqs, 4, 17, 22
abricate, 4, 15, 15
metawrap, 3, 12, 12
pore_c, 1, 11, 11
