number of occurences: 6140, path segment: ('&1', 'mv')
number of occurences: 6102, path segment: ('tar', 'touch')
number of occurences: 6100, path segment: ('tar', 'for')
number of occurences: 5820, path segment: ('bowtie2-build', 'mv')
number of occurences: 4644, path segment: ('mkdir', 'find')
number of occurences: 4616, path segment: ('tar', 'find')
number of occurences: 4396, path segment: ('mkdir', 'for')
number of occurences: 4204, path segment: ('mkdir', 'touch')
number of occurences: 3820, path segment: ('find', 'mkdir')
number of occurences: 3820, path segment: ('find', 'for')
number of occurences: 3792, path segment: ('tar', 'mkdir')
number of occurences: 3792, path segment: ('find', 'touch')
number of occurences: 3300, path segment: ('mkdir', 'mkdir')
number of occurences: 3236, path segment: ('mkdir', 'mv')
number of occurences: 2920, path segment: ('rm', 'mv')
number of occurences: 2914, path segment: ('mv', 'mv')
number of occurences: 2500, path segment: ('mkdir', 'done')
number of occurences: 2336, path segment: ('mkdir', 'tar')
number of occurences: 2308, path segment: ('tar', 'tar')
number of occurences: 2308, path segment: ('tar', 'done')
number of occurences: 2116, path segment: ('for', 'mkdir')
number of occurences: 2116, path segment: ('done', 'mkdir')
number of occurences: 2060, path segment: ('for', 'for')
number of occurences: 2060, path segment: ('done', 'for')
number of occurences: 1896, path segment: ('touch', 'mkdir')
number of occurences: 1896, path segment: ('touch', 'for')
number of occurences: 1896, path segment: ('for', 'touch')
number of occurences: 1896, path segment: ('done', 'touch')
number of occurences: 1896, path segment: ('touch', 'touch')
number of occurences: 1846, path segment: ('wget', 'tar')
number of occurences: 1784, path segment: ('samtools', 'featureCounts')
number of occurences: 1710, path segment: ('wget', 'mkdir')
number of occurences: 1212, path segment: ('nanopolish', 'nanopolish')
number of occurences: 1188, path segment: ('&1', 'mkdir')
number of occurences: 1164, path segment: ('bowtie2-build', 'mkdir')
number of occurences: 1164, path segment: ('bowtie2-build', 'bowtie2')
number of occurences: 1164, path segment: ('&1', 'bowtie2')
number of occurences: 1164, path segment: ('bowtie2-build', 'samtools')
number of occurences: 1164, path segment: ('&1', 'samtools')
number of occurences: 944, path segment: ('bwa', 'nanopolish')
number of occurences: 944, path segment: ('samtools', 'nanopolish')
number of occurences: 930, path segment: ('mv', 'mkdir')
number of occurences: 912, path segment: ('samtools', 'samtools')
number of occurences: 888, path segment: ('mkdir', 'featureCounts')
number of occurences: 888, path segment: ('bowtie2', 'featureCounts')
number of occurences: 888, path segment: ('mv', 'featureCounts')
number of occurences: 804, path segment: ('nanopolish', 'samtools')
number of occurences: 760, path segment: ('set', 'mv')
number of occurences: 646, path segment: ('curl', 'mv')
number of occurences: 636, path segment: ('curl', 'mkdir')
number of occurences: 628, path segment: ('bwa', 'samtools')
number of occurences: 624, path segment: ('bismark_methylation_extractor', 'coverage2cytosine')
number of occurences: 600, path segment: ('gunzip', 'mkdir')
number of occurences: 600, path segment: ('gunzip', 'mv')
number of occurences: 592, path segment: ('python', 'featureCounts')
number of occurences: 586, path segment: ('gunzip', 'rm')
number of occurences: 583, path segment: ('curl', 'rm')
number of occurences: 582, path segment: ('bowtie2-build', 'exec')
number of occurences: 582, path segment: ('&1', 'exec')
number of occurences: 582, path segment: ('bowtie2-build', '2')
number of occurences: 582, path segment: ('&1', '2')
number of occurences: 582, path segment: ('curl', 'bowtie2-build')
number of occurences: 582, path segment: ('gunzip', 'bowtie2-build')
number of occurences: 582, path segment: ('curl', '&1')
number of occurences: 582, path segment: ('gunzip', '&1')
number of occurences: 582, path segment: ('rm', 'mkdir')
number of occurences: 582, path segment: ('mkdir', 'bowtie2')
number of occurences: 582, path segment: ('mv', 'bowtie2')
number of occurences: 582, path segment: ('rm', 'bowtie2')
number of occurences: 582, path segment: ('mkdir', 'samtools')
number of occurences: 582, path segment: ('mv', 'samtools')
number of occurences: 582, path segment: ('rm', 'samtools')
number of occurences: 572, path segment: ('mkdir', 'nanopolish')
number of occurences: 571, path segment: ('wget', 'unzip')
number of occurences: 554, path segment: ('mkdir', 'cp')
number of occurences: 544, path segment: ('set', 'set')
number of occurences: 520, path segment: ('mkdir', 'emapper.py')
number of occurences: 518, path segment: ('mkdir', 'rm')
number of occurences: 504, path segment: ('for', 'nanopolish')
number of occurences: 504, path segment: ('touch', 'nanopolish')
number of occurences: 464, path segment: ('mv', 'cp')
number of occurences: 419, path segment: ('Rscript', 'Rscript')
number of occurences: 416, path segment: ('python', 'mkdir')
number of occurences: 360, path segment: ('mv', 'set')
number of occurences: 348, path segment: ('sed', 'mkdir')
number of occurences: 335, path segment: ('python', 'python')
number of occurences: 328, path segment: ('sys.path[0]', 'sed')
number of occurences: 328, path segment: ('[', 'set')
number of occurences: 316, path segment: ('python', 'mv')
number of occurences: 312, path segment: ('UNFINISHED_GENOME', 'coverage2cytosine')
number of occurences: 312, path segment: (']', 'coverage2cytosine')
number of occurences: 312, path segment: (')', 'coverage2cytosine')
number of occurences: 300, path segment: ('[', 'mv')
number of occurences: 288, path segment: ('coverage2cytosine', 'cat')
number of occurences: 288, path segment: ('cat', 'Rscript')
number of occurences: 287, path segment: ('rm', 'python')
number of occurences: 272, path segment: ('sed', 'for')
number of occurences: 272, path segment: ('sed', 'done')
number of occurences: 260, path segment: ('mv', 'rm')
number of occurences: 260, path segment: ('mkdir', 'python')
number of occurences: 260, path segment: ('cp', 'python')
number of occurences: 260, path segment: ('emapper.py', 'python')
number of occurences: 234, path segment: ('emapper.py', 'mkdir')
number of occurences: 234, path segment: ('emapper.py', 'cp')
number of occurences: 234, path segment: ('emapper.py', 'emapper.py')
number of occurences: 234, path segment: ('mv', 'emapper.py')
number of occurences: 234, path segment: ('emapper.py', 'rm')
number of occurences: 234, path segment: ('&', '&')
number of occurences: 220, path segment: ('set', 'cp')
number of occurences: 216, path segment: ('python', 'cd')
number of occurences: 208, path segment: ('python', 'emapper.py')
number of occurences: 200, path segment: ('mkdir', 'set')
number of occurences: 194, path segment: ('mothur', 'mothur')
number of occurences: 181, path segment: ('mv', '&&')
number of occurences: 180, path segment: ('mv', 'temp.txt')
number of occurences: 180, path segment: ('mv', 'sed')
number of occurences: 180, path segment: ('mv', '1{{print}}')
number of occurences: 180, path segment: ('mv', 'sort')
number of occurences: 168, path segment: ('sed', 'filename=`basename')
number of occurences: 164, path segment: ('wget', 'sys.path[0]')
number of occurences: 164, path segment: ('sys.path[0]', 'mkdir')
number of occurences: 164, path segment: ('sys.path[0]', 'for')
number of occurences: 164, path segment: ('sys.path[0]', 'split_file={output[0]}/`basename')
number of occurences: 164, path segment: ('sys.path[0]', '$txt_file')
number of occurences: 164, path segment: ('sys.path[0]', 'P')
number of occurences: 164, path segment: ('sys.path[0]', '$/d')
number of occurences: 164, path segment: ('sys.path[0]', '$split_file;')
number of occurences: 164, path segment: ('sys.path[0]', 'done')
number of occurences: 164, path segment: ('sys.path[0]', '$split_file')
number of occurences: 164, path segment: ('split_file={output[0]}/`basename', 'mkdir')
number of occurences: 164, path segment: ('$txt_file', 'mkdir')
number of occurences: 164, path segment: ('P', 'mkdir')
number of occurences: 164, path segment: ('$/d', 'mkdir')
number of occurences: 164, path segment: ('$split_file;', 'mkdir')
number of occurences: 164, path segment: ('$split_file', 'mkdir')
number of occurences: 164, path segment: ('for', 'done')
number of occurences: 164, path segment: ('done', 'done')
number of occurences: 160, path segment: ('sed', 'if')
number of occurences: 160, path segment: ('sed', 'fi')
number of occurences: 160, path segment: ('&1', 'set')
number of occurences: 156, path segment: ('bismark_genome_preparation', 'bismark')
number of occurences: 154, path segment: ('cd', 'mv')
number of occurences: 150, path segment: ('for', 'mv')
number of occurences: 150, path segment: ('done', 'mv')
number of occurences: 140, path segment: ('mkdir', 'filename=`basename')
number of occurences: 136, path segment: ('split_file={output[0]}/`basename', 'for')
number of occurences: 136, path segment: ('$txt_file', 'for')
number of occurences: 136, path segment: ('P', 'for')
number of occurences: 136, path segment: ('$/d', 'for')
number of occurences: 136, path segment: ('$split_file;', 'for')
number of occurences: 136, path segment: ('$split_file', 'for')
number of occurences: 136, path segment: ('mkdir', 'if')
number of occurences: 136, path segment: ('mkdir', 'fi')
number of occurences: 136, path segment: ('split_file={output[0]}/`basename', 'done')
number of occurences: 136, path segment: ('$txt_file', 'done')
number of occurences: 136, path segment: ('P', 'done')
number of occurences: 136, path segment: ('$/d', 'done')
number of occurences: 136, path segment: ('$split_file;', 'done')
number of occurences: 136, path segment: ('$split_file', 'done')
number of occurences: 136, path segment: ('STAR', 'samtools')
number of occurences: 128, path segment: ('zcat', 'set')
number of occurences: 128, path segment: ('rm', 'set')
number of occurences: 128, path segment: ('wget', 'GENOME.fasta')
number of occurences: 128, path segment: ('GENOME.fasta', 'set')
number of occurences: 117, path segment: ('&', 'kallisto')
number of occurences: 114, path segment: ('&1', '&1')
number of occurences: 112, path segment: ('for', 'filename=`basename')
number of occurences: 112, path segment: ('done', 'filename=`basename')
number of occurences: 112, path segment: ('sed', 'cd')
number of occurences: 110, path segment: ('wget', 'rm')
number of occurences: 109, path segment: ('python', 'Rscript')
number of occurences: 108, path segment: ('python', 'rmdir')
number of occurences: 108, path segment: ('samtools', 'cp')
number of occurences: 108, path segment: ('for', 'if')
number of occurences: 108, path segment: ('done', 'if')
number of occurences: 108, path segment: ('for', 'fi')
number of occurences: 108, path segment: ('done', 'fi')
number of occurences: 108, path segment: ('mkdir', '&1')
number of occurences: 104, path segment: ('sed', 'tgt_file={input[1]}/`basename')
number of occurences: 104, path segment: ('sed', 'align_file={output}/`basename')
number of occurences: 104, path segment: ('sed', '$align_file')
number of occurences: 102, path segment: ('set', '[')
number of occurences: 100, path segment: ('cd', 'set')
number of occurences: 100, path segment: ('for', 'set')
