operator, total count, category (0=domain specific, 1=control flow, 2=file content handling, 3=file handling, 4=code execution (e.g. conda, python, rscript ..), 5=data handling (e.g. wget), 6=misc, 7=noise, 8=under 10 count)
echo, 857, 6
samtools, 773, 0
mkdir, 588, 3
set, 509, 4
python, 495, 4
rm, 457, 3
&1, 391, 7
cut, 386, 2
mv, 378, 3
sed, 351, 2
cat, 344, 2
2, 302, 7
awk, 297, 2
if, 288, 1
Rscript, 285, 4
grep, 259, 2
cd, 258, 3
bcftools, 252, 0
qiime, 250, 0
bedtools, 225, 0
fi, 224, 1
touch, 203, 3
wget, 193, 5
conda, 185, 4
cp, 183, 3
gzip, 177, 5
for, 165, 1
python3, 138, 4
done, 138, 1
export, 135, 4
sort, 132, 2
gatk, 131, 0
perl, 120, 4
bgzip, 118, 5
else, 111, 1
fastqc, 110, 0
bwa, 104, 0
zcat, 103, 5
&2, 101, 7
tr, 100, 2
gunzip, 99, 5
ln, 95, 3
tabix, 94, 0
r, 90, 6
&, 85, 7
module, 85, 4
paste, 83, 2
1, 82, 7
multiqc, 72, 0
exec, 67, 2
R, 67, 6
source, 67, 4
[, 65, 7
pigz, 63, 5
head, 61, 2
wc, 52, 2
STAR, 52, 6
vcftools, 52, 0
uniq, 51, 2
picard, 48, 0
(, 47, 7
do, 47, 1
bash, 47, 6
while, 47, 1
tail, 46, 2
curl, 46, 5
tar, 46, 5
pygna, 45, 6
trim_galore, 41, 0
seqtk, 39, 0
java, 39, 4
&&, 39, 7
bowtie2, 38, 0
tee, 37, 2
minimap2, 35, 0
/, 34, 7
), 33, 7
exit, 33, 6
augur, 32, 0
rbt, 31, 6
/dev/null, 30, 6
+, 30, 7
bedextract, 30, 0
then, 29, 1
salmon, 28, 0
featureCounts, 27, 0
cutadapt, 27, 0
., 26, 7
bowtie2-build, 25, 0
macs2, 25, 0
bamCoverage, 25, 0
elif, 25, 1
hisat2, 24, 0
ls, 24, 6
snakemake, 23, 4
dot, 23, 6
find, 23, 2
bismark_methylation_extractor, 22, 0
checkm, 22, 0
gsutil, 22, 6
md5sum, 22, 6
mmseqs, 22, 0
stringtie, 21, 0
kallisto, 21, 0
plink, 21, 6
git, 20, 6
singularity, 19, 6
mothur, 19, 0
config[VENV_DIR], 19, 6
trimmomatic, 18, 0
cpan, 18, 6
);, 17, 7
$(basename, 16, 7
rsync, 15, 3
infer_experiment.py, 15, 6
bam_stat.py, 15, 0
read_GC.py, 15, 6
plotHeatmap, 15, 6
fastp, 15, 0
biom, 15, 0
abricate, 15, 0
sourmash, 15, 0
done;, 15, 1
gffread, 14, 0
=, 14, 7
sh, 14, 6
diamond, 14, 6
read_distribution.py, 14, 6
true, 14, 6
xargs, 14, 6
pushd, 14, 3
read_duplication.py, 13, 6
computeMatrix, 13, 6
seqkit, 13, 0
g, 13, 7
rio, 13, 6
bismark, 12, 0
metawrap, 12, 0
spades.py, 12, 6
unzip, 12, 5
multiBamSummary, 12, 0
junction_saturation.py, 12, 6
inner_distance.py, 12, 6
printf, 12, 6
NanoPlot, 12, 0
rev, 12, 2
smc++, 12, 6
hamronize, 12, 6
^.*/, 12, 7
L=$(less, 12, 7
], 12, 7
junction_annotation.py, 11, 6
$CAT, 11, 6
pore_c, 11, 0
bwa-mem2, 10, 0
bedGraphToBigWig, 10, 6
gtdbtk, 10, 0
megahit, 10, 0
gffcompare, 10, 0
chmod, 10, 6
zgrep, 10, 5
fi;, 10, 1
/bin/rm, 10, 3
&1;, 10, 7
0, 10, 7
kraken2, 10, 0
sleep, 10, 1
name=$(echo, 10, 7
N=$(less, 10, 7
test, 10, 6
INPUT={input}, 10, 6
cooler, 9
isoseq3, 9
date, 9
imctools, 9
/ilastik-release/bin/python, 9
metabat2, 9
add_descriptions.py, 9
xvfb-run, 9
}}, 9
$len;, 9
reformat.sh, 8
eval, 8
wd=$(pwd), 8
jgi_summarize_bam_contig_depths, 8
docker, 8
ulimit, 8
parallel_cmd=, 8
parallel_cmd=parallel, 8
qualimap, 8
mafft, 8
local, 8
fsampleID=$(echo, 8
var=$(echo, 8
g);, 8
sambamba, 8
OUTPUT={output}, 8
scripts/join_tables.py, 8
UNFINISHED_GENOME, 8
RepeatMasker, 7
rmdir, 7
emapper.py, 7
blastn, 7
plotCorrelation, 7
hisat2-build, 7
header.html;, 7
prodigal, 7
[[, 7
zip, 7
parallel, 7
split, 7
porechop, 7
2.0, 7
bismark_genome_preparation, 7
fpython3, 7
groot, 7
metaphlan, 7
rgi, 7
umi_tools, 7
expIslDir={params.isl_dir}/{wildcards.accession}/{params.organism}, 7
merfishtools, 7
OUTPUT={output.bam}, 7
NanoStat, 7
results_report={params.resultsreport}, 7
.format(**config), 7
scripts/tomat.py, 7
int, 7
float, 7
FILES=$(echo, 7
sortBed, 6
dRep, 6
hmmpress, 6
fasterq-dump, 6
HiC-Pro, 6
iqtree, 6
Attribute, 6
O={output.bam}, 6
sniffles, 6
SURVIVOR, 6
mosdepth, 6
parallel_cmd=$([[, 6
f, 6
canu, 6
function, 6
freebayes, 6
I={input.bam}, 6
30.0, 6
=NF;i++)if($i, 6
m)m=$i;print, 6
CAT=cat;, 6
log, 6
python2, 6
contacts, 6
check_tsv_data_file_not_empty_of_data, 6
sudo, 6
fio, 6
sickle, 6
jupyter, 6
f{{wildcards.model}}, 6
smorfer.sh, 6
prokka, 5
blobtools, 5
hmmscan, 5
Trinity, 5
egrep, 5
CAT, 5
shuf, 5
//g, 5
concoct, 5
fasttree, 5
vsearch, 5
phyloFlash.pl, 5
flye, 5
LC_ALL=C, 5
WC1=$(zcat, 5
WC2=$(zcat, 5
vep, 5
samblaster, 5
prefix={params.output_dir}, 5
0), 5
/data/bin/cellranger-atac, 5
refgenie, 5
ivar, 5
data/tmp, 5
make, 5
sampleID=$(echo, 5
samp=$(echo, 5
models, 5
2]//, 5
sbatch, 5
antsApplyTransforms, 5
geneNameFile=$(, 5
amm, 5
$decoratedFile.swp, 5
decoratedFileLength=$(wc, 5
decorate_if_exists, 5
CREATE_INDEX=true, 5
Trinotate, 5
julia, 5
Fasta_to_Scaffolds2Bin.sh, 5
ktImportText, 5
annotation={params[0]}, 5
annotation={params[2]}, 5
coverage2cytosine, 5
Min, 5
f{{wildcards.dataset}}, 5
pbmm2, 4
repair.sh, 4
prefetch, 4
dmesg, 4
sample=$(echo, 4
contigtax, 4
taxmapper, 4
check_directory, 4
\t, 4
mem_per_job=$(expr, 4
!DOCTYPE, 4
Filter, 4
I={input}, 4
fastq-dump, 4
20, 4
temp.html;, 4
delly, 4
gtf2bed, 4
$0, 4
lra, 4
megalodon, 4
/p;2~4p, 4
0){{print, 4
bbduk.sh, 4
mawk, 4
scripts/summarize-table.py, 4
DIRNAME=$(mktemp, 4
\tsmc++, 4
./{input.bin}, 4
numactl, 4
vt, 4
input_accessions={input.accessions}, 4
multiBigwigSummary, 4
NanoFilt, 4
sys.path[0], 4
40.0, 4
&2), 4
GTDBTK_DATA_PATH={GTDBTK_DATA_PATH}, 4
callpeak, 4
../../{output.vcf}, 4
init_template, 4
reg_to_template, 4
update_template, 4
src/aggregate_previous_sctensor.sh, 4
src/aggregate_sctensor.sh, 4
src/plot_auc.sh, 4
src/plot_aucpr.sh, 4
src/plot_f.sh, 4
src/plot_mcc.sh, 4
src/plot_fpr.sh, 4
src/plot_fnr.sh, 4
src/plot_pr.sh, 4
src/plot_time.sh, 4
src/plot_memory.sh, 4
src/plot_LR.sh, 4
quast, 4
ktImportTaxonomy, 4
merge_metaphlan_tables.py, 4
bc, 4
alignments, 4
IFS=$\, 4
NR==1, 4
OUTFMT=$OUTFMT, 4
0.05, 4
fastq_to_fasta, 4
set.dir(output={params.outdir});, 4
SORT_ORDER=queryname, 4
\tmkdir, 4
yes, 4
$(readlink, 4
bowtie, 4
nanopolish, 4
GENOME.fasta, 4
HRIBO/scripts/generate_excel_overview.py, 4
Genrich, 4
fastq-sort, 4
twoBitToFa, 4
variantcalling={params[0]}, 4
debug={params[2]}, 4
annotation={params[1]}, 4
SV={params[0]}, 4
MEI={params[1]}, 4
script, 4
kreport2mpa.py, 4
taxon_nametreads, 4
