operator, count by repo, count by rule, total count
samtools, 108, 188, 188
python, 78, 265, 265
Rscript, 56, 165, 165
rm, 43, 63, 63
fastqc, 37, 61, 61
cat, 35, 46, 46
bedextract, 29, 29, 29
multiqc, 28, 39, 39
mkdir, 21, 73, 73
gatk, 20, 95, 95
wget, 19, 50, 50
echo, 19, 33, 33
bwa, 17, 19, 19
python3, 16, 62, 62
bedtools, 16, 53, 53
cd, 16, 34, 34
ln, 16, 19, 19
cp, 16, 17, 17
gzip, 15, 22, 22
bcftools, 14, 44, 44
featureCounts, 14, 20, 20
infer_experiment.py, 14, 14, 14
bam_stat.py, 14, 14, 14
read_distribution.py, 14, 14, 14
touch, 13, 37, 37
sed, 13, 18, 18
R, 12, 46, 46
bgzip, 12, 23, 23
picard, 12, 16, 16
STAR, 12, 13, 13
gunzip, 11, 13, 13
cutadapt, 10, 18, 18
curl, 10, 16, 16
bamCoverage, 10, 15, 15
mv, 10, 12, 12
perl, 9, 17, 17
cut, 9, 12, 12
trim_galore, 9, 11, 11
seqtk, 9, 10, 10
imctools, 9, 9, 9
/ilastik-release/bin/python, 9, 9, 9
awk, 9, 9, 9
&1, 8, 38, 38
bash, 8, 12, 12
salmon, 8, 12, 12
java, 8, 12, 12
minimap2, 8, 8, 8
fastp, 7, 8, 8
tar, 7, 8, 8
qiime, 6, 62, 62
stringtie, 6, 16, 16
tabix, 6, 8, 8
RepeatMasker, 6, 6, 6
vcftools, 5, 31, 31
sh, 5, 12, 12
for, 5, 9, 9
gffread, 5, 6, 6
abricate, 4, 15, 15
bismark, 4, 11, 11
plink, 4, 10, 10
qualimap, 4, 7, 7
bismark_methylation_extractor, 4, 6, 6
kallisto, 4, 6, 6
bowtie2-build, 4, 5, 5
porechop, 4, 5, 5
spades.py, 4, 5, 5
bwa-mem2, 4, 4, 4
iqtree, 4, 4, 4
init_template, 4, 4, 4
reg_to_template, 4, 4, 4
update_template, 4, 4, 4
augur, 3, 22, 22
module, 3, 8, 8
NanoPlot, 3, 8, 8
vsearch, 3, 5, 5
sourmash, 3, 5, 5
bismark_genome_preparation, 3, 5, 5
NanoStat, 3, 5, 5
bedGraphToBigWig, 3, 4, 4
pigz, 3, 4, 4
mafft, 3, 4, 4
gffcompare, 3, 3, 3
zgrep, 3, 3, 3
hisat2_extract_exons.py, 3, 3, 3
prodigal, 3, 3, 3
seqkit, 3, 3, 3
htseq-count, 3, 3, 3
flye, 3, 3, 3
macs2, 3, 3, 3
bowtie2, 3, 3, 3
zcat, 3, 3, 3
ls, 3, 3, 3
find, 3, 3, 3
tr, 3, 3, 3
freebayes, 3, 3, 3
head, 2, 20, 20
mothur, 2, 14, 14
+, 2, 13, 13
paste, 2, 13, 13
smc++, 2, 8, 8
date, 2, 6, 6
sudo, 2, 6, 6
jupyter, 2, 6, 6
cooler, 2, 5, 5
coverage2cytosine, 2, 5, 5
HiC-Pro, 2, 4, 4
zip, 2, 4, 4
\tsmc++, 2, 4, 4
mmseqs, 2, 4, 4
diamond, 2, 4, 4
pbmm2, 2, 3, 3
prokka, 2, 3, 3
/dev/null, 2, 3, 3
papermill, 2, 3, 3
wc, 2, 3, 3
umi_tools, 2, 3, 3
antsApplyTransforms, 2, 3, 3
nanopolish, 2, 3, 3
2, 2, 3, 3
deduplicate_bismark, 2, 3, 3
sortBed, 2, 2, 2
scripts/prepend_labels.sh, 2, 2, 2
check_directory, 2, 2, 2
printf, 2, 2, 2
bamPEFragmentSize, 2, 2, 2
hisat2_extract_splice_sites.py, 2, 2, 2
delly, 2, 2, 2
sniffles, 2, 2, 2
if, 2, 2, 2
medaka_consensus, 2, 2, 2
./make-lineage-csv.py, 2, 2, 2
trimmomatic, 2, 2, 2
hisat2-build, 2, 2, 2
snippy, 2, 2, 2
bamcov, 2, 2, 2
cairosvg, 2, 2, 2
snpEff, 2, 2, 2
fastq_screen, 2, 2, 2
findMotifsGenome.pl, 2, 2, 2
fasttree, 2, 2, 2
kraken2, 2, 2, 2
longstitch, 2, 2, 2
gtdbtk, 2, 2, 2
read_analysis.py, 2, 2, 2
nnUNet_plan_and_preprocess, 2, 2, 2
nnUNet_train, 2, 2, 2
nnUNet_predict, 2, 2, 2
fslmerge, 2, 2, 2
mosdepth, 2, 2, 2
quast, 2, 2, 2
ngmlr, 2, 2, 2
brew, 2, 2, 2
guppy_basecaller, 2, 2, 2
DAS_Tool, 2, 2, 2
metaquast.py, 2, 2, 2
pygna, 1, 45, 45
&, 1, 15, 15
hamronize, 1, 12, 12
sort, 1, 9, 9
config[VENV_DIR], 1, 9, 9
scripts/tomat.py, 1, 7, 7
blobtools, 1, 5, 5
computeMatrix, 1, 5, 5
refgenie, 1, 5, 5
models, 1, 5, 5
mem_per_job=$(expr, 1, 4, 4
./{input.bin}, 1, 4, 4
numactl, 1, 4, 4
sys.path[0], 1, 4, 4
src/aggregate_previous_sctensor.sh, 1, 4, 4
src/aggregate_sctensor.sh, 1, 4, 4
src/plot_auc.sh, 1, 4, 4
src/plot_aucpr.sh, 1, 4, 4
src/plot_f.sh, 1, 4, 4
src/plot_mcc.sh, 1, 4, 4
src/plot_fpr.sh, 1, 4, 4
src/plot_fnr.sh, 1, 4, 4
src/plot_pr.sh, 1, 4, 4
src/plot_time.sh, 1, 4, 4
src/plot_memory.sh, 1, 4, 4
src/plot_LR.sh, 1, 4, 4
merfishtools, 1, 4, 4
\tmkdir, 1, 4, 4
