operator, count by repo, count by rule, total count
samtools, 108, 188, 188
fastqc, 37, 61, 61
bedextract, 29, 29, 29
multiqc, 28, 39, 39
gatk, 20, 95, 95
bwa, 17, 19, 19
bedtools, 16, 53, 53
bcftools, 14, 44, 44
featureCounts, 14, 20, 20
bam_stat.py, 14, 14, 14
picard, 12, 16, 16
cutadapt, 10, 18, 18
bamCoverage, 10, 15, 15
trim_galore, 9, 11, 11
seqtk, 9, 10, 10
salmon, 8, 12, 12
minimap2, 8, 8, 8
fastp, 7, 8, 8
qiime, 6, 62, 62
stringtie, 6, 16, 16
tabix, 6, 8, 8
vcftools, 5, 31, 31
gffread, 5, 6, 6
abricate, 4, 15, 15
bismark, 4, 11, 11
bismark_methylation_extractor, 4, 6, 6
kallisto, 4, 6, 6
bowtie2-build, 4, 5, 5
bwa-mem2, 4, 4, 4
augur, 3, 22, 22
NanoPlot, 3, 8, 8
sourmash, 3, 5, 5
gffcompare, 3, 3, 3
seqkit, 3, 3, 3
macs2, 3, 3, 3
bowtie2, 3, 3, 3
mothur, 2, 14, 14
mmseqs, 2, 4, 4
trimmomatic, 2, 2, 2
kraken2, 2, 2, 2
gtdbtk, 2, 2, 2
multiBamSummary, 1, 1, 1
megahit, 1, 1, 1
hisat2, 1, 1, 1
checkm, 1, 1, 1
