operator, number of matching repos, number of total matches
samtools, 11, 172
bowtie2, 8, 46
fastqc, 6, 60
minimap2, 6, 24
bwa, 5, 37
cutadapt, 4, 37
multiqc, 4, 19
kallisto, 4, 15
salmon, 3, 36
megahit, 3, 8
picard, 3, 7
qiime, 2, 722
mmseqs, 2, 26
bedtools, 2, 16
gatk, 2, 16
bismark, 2, 10
trimmomatic, 2, 10
stringtie, 2, 7
fastp, 2, 6
bamCoverage, 2, 3
pore_c, 1, 22
macs2, 1, 16
trim_galore, 1, 14
biom, 1, 8
NanoPlot, 1, 6
mothur, 1, 4
seqtk, 1, 3
sourmash, 1, 3
featureCounts, 1, 2
vcftools, 1, 2
bowtie2-build, 1, 1
kraken2, 1, 1
gtdbtk, 1, 1
bcftools, 1, 1
